campaign_id,campaign_name,campaign_type,target_segment,channel,send_date,offer_type,cost,impressions,opens,clicks,conversions,revenue_generated
CAMP-000001,Retention Digital Engaged 001,retention,digital_engaged,email,2025-09-03,exclusive_access,6047.22,172102,39162,10595,516,59580.81
CAMP-000002,Reactivation Premium Loyal 002,reactivation,premium_loyal,push,2024-09-23,exclusive_access,2523.1,126141,19303,2917,140,27604.26
CAMP-000003,Cross_Sell New Acquired 003,cross_sell,new_acquired,email,2023-05-17,early_access,9507.91,213958,28341,5829,529,105772.43
CAMP-000004,Retention High Risk 004,retention,high_risk,remarketing,2024-05-01,early_access,9567.31,115294,23164,6584,661,95026.64
CAMP-000005,Conversion Store Preferred 005,conversion,store_preferred,in_app,2024-09-30,exclusive_access,4537.55,143922,38717,11196,912,99443.25
CAMP-000006,Conversion Store Preferred 006,conversion,store_preferred,email,2023-09-14,bundle,3751.31,219712,27119,8229,730,129369.84
CAMP-000007,Retention Promo Sensitive 007,retention,promo_sensitive,sms,2023-06-01,free_shipping,7410.52,186275,41095,11820,1015,92251.1
CAMP-000008,Upsell Digital Engaged 008,upsell,digital_engaged,push,2023-09-30,bundle,2380.38,90609,19811,4763,551,32790.54
CAMP-000009,Loyalty High Risk 009,loyalty,high_risk,sms,2023-03-14,early_access,7065.25,138851,22510,4710,473,85995.7
CAMP-000010,Upsell Promo Sensitive 010,upsell,promo_sensitive,push,2023-09-23,discount,7244.99,194154,34488,7617,322,41792.48
CAMP-000011,Loyalty New Acquired 011,loyalty,new_acquired,email,2024-08-07,early_access,4720.61,129425,20237,4590,335,73616.86
CAMP-000012,Cross_Sell Store Preferred 012,cross_sell,store_preferred,email,2025-05-28,discount,7586.52,70454,14282,3724,149,32276.21
CAMP-000013,Cross_Sell Promo Sensitive 013,cross_sell,promo_sensitive,push,2025-08-14,cashback,7053.77,234137,34083,7273,674,113509.75
CAMP-000014,Retention Promo Sensitive 014,retention,promo_sensitive,email,2025-01-07,discount,5747.8,20000,3668,609,50,8033.82
CAMP-000015,Conversion Promo Sensitive 015,conversion,promo_sensitive,in_app,2024-01-26,discount,5123.32,159248,24092,7361,345,28058.97
CAMP-000016,Cross_Sell Digital Engaged 016,cross_sell,digital_engaged,push,2025-10-20,early_access,3939.63,125639,25195,7630,321,51038.12
CAMP-000017,Upsell Digital Engaged 017,upsell,digital_engaged,sms,2025-10-04,discount,4414.68,132998,19577,3785,436,76071.89
CAMP-000018,Loyalty Premium Loyal 018,loyalty,premium_loyal,email,2024-01-28,exclusive_access,4477.29,83735,17049,4826,376,70831.97
CAMP-000019,Reactivation Premium Loyal 019,reactivation,premium_loyal,push,2023-01-12,bundle,2795.3,20000,6456,2046,207,28718.2
CAMP-000020,Loyalty Premium Loyal 020,loyalty,premium_loyal,sms,2024-04-20,exclusive_access,4900.69,133782,31744,6519,659,81332.98
